iter	Passed	Remaining
342	1380	2643
343	1385	2641
344	1388	2635
345	1392	2631
346	1396	2628
347	1402	2627
348	1405	2621
349	1410	2618
350	1414	2616
351	1418	2612
352	1423	2609
353	1428	2607
354	1432	2602
355	1435	2596
356	1439	2593
357	1444	2590
358	1447	2585
359	1453	2583
360	1457	2580
361	1462	2576
362	1467	2574
363	1473	2573
364	1476	2568
365	1481	2566
366	1486	2563
367	1490	2560
368	1495	2556
369	1500	2554
370	1504	2551
371	1509	2547
372	1514	2545
373	1518	2540
374	1522	2536
375	1525	2530
376	1528	2526
377	1533	2523
378	1537	2518
379	1540	2513
380	1544	2509
381	1549	2506
382	1553	2502
383	1558	2500
384	1563	2497
385	1566	2492
386	1570	2488
387	1576	2487
388	1581	2484
389	1585	2480
390	1591	2478
391	1595	2474
392	1599	2470
393	1604	2468
394	1611	2468
395	1616	2465
396	1622	2464
397	1625	2458
398	1628	2453
399	1631	2447
400	1636	2444
401	1639	2439
402	1643	2434
403	1646	2428
404	1651	2426
405	1655	2421
406	1658	2416
407	1661	2410
408	1664	2405
409	1668	2401
410	1671	2395
411	1674	2390
412	1678	2386
413	1683	2382
414	1687	2378
415	1690	2373
416	1694	2369
417	1698	2365
418	1701	2359
419	1705	2355
420	1708	2350
421	1713	2346
422	1715	2340
423	1719	2336
424	1723	2331
425	1726	2326
426	1731	2323
427	1734	2318
428	1738	2313
429	1741	2309
430	1745	2303
431	1748	2299
